Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,SHORT_SMA,MEDIUM_SMA,SIGNAL,BM_RET,BM_EOD_BAL,BM_PNL,RETURNS,EOD_BAL,PNL,BM_EOD_BAL,BM_PNL,BM_EOD_BAL,PNL
9/13/2000,1479.100000,1480.000000,1453.000000,1456.850000,1456.850000,1436.705000,1.000000,-0.010090,996477.428181,0.000000,-0.010090,1140347.003292,0.000000,1060298.398836,0.000000,1060298.398836,0.000000
9/14/2000,1460.050000,1464.000000,1440.000000,1451.250000,1451.250000,1444.430000,1.000000,-0.003844,992647.058824,0.000000,-0.003844,1135963.612265,0.000000,1056222.707424,0.000000,1056222.707424,0.000000
9/15/2000,1445.000000,1449.950000,1422.050000,1424.350000,1424.350000,1447.630000,1.000000,-0.018536,974247.606019,34439.124487,-0.018536,1114907.680365,39411.381828,1036644.832606,36644.832606,1036644.832606,36644.832606
9/18/2000,1390.000000,1401.000000,1360.000000,1364.600000,1364.600000,1441.190000,-1.000000,-0.041949,933378.932969,0.000000,0.041949,1161676.897131,0.000000,958051.040826,0.000000,1041948.959174,0.000000
9/19/2000,1370.000000,1373.000000,1302.200000,1328.750000,1328.750000,1430.765000,-1.000000,-0.026271,908857.729138,0.000000,0.026271,1192195.816054,0.000000,932881.665321,0.000000,1069322.453375,0.000000
9/20/2000,1330.000000,1356.000000,1320.000000,1349.350000,1349.350000,1421.870000,-1.000000,0.015503,922948.016416,0.000000,-0.015503,1173712.855519,0.000000,947344.402710,0.000000,1052744.434531,0.000000
9/21/2000,1340.000000,1350.000000,1330.000000,1331.450000,1331.450000,1410.445000,-1.000000,-0.013266,910704.514364,0.000000,0.013266,1189282.915262,0.000000,934777.266823,0.000000,1066709.769972,0.000000
9/22/2000,1300.000000,1318.000000,1265.000000,1272.900000,1272.900000,1390.565000,-1.000000,-0.043975,870656.634747,0.000000,0.043975,1241581.172567,0.000000,893670.797206,0.000000,1113617.920509,0.000000
9/25/2000,1283.000000,1295.000000,1278.000000,1293.350000,1293.350000,1374.455000,-1.000000,0.016066,884644.322845,0.000000,-0.016066,1221634.330726,0.000000,908028.223400,0.000000,1095726.894918,0.000000
9/26/2000,1271.250000,1286.000000,1261.000000,1265.800000,1265.800000,1353.865000,-1.000000,-0.021301,865800.273598,0.000000,0.021301,1247656.695756,0.000000,888686.067329,0.000000,1119067.271425,0.000000
9/27/2000,1254.850000,1300.000000,1245.000000,1294.900000,1294.900000,1337.670000,-1.000000,0.022989,885704.514364,0.000000,-0.022989,1218973.799685,0.000000,909116.439077,0.000000,1093340.570841,0.000000
9/28/2000,1300.000000,1303.300000,1267.000000,1267.050000,1267.050000,1319.250000,-1.000000,-0.021507,866655.266758,0.000000,0.021507,1245190.820553,0.000000,889563.660617,0.000000,1116855.541031,0.000000
9/29/2000,1285.000000,1289.000000,1275.000000,1282.800000,1282.800000,1305.095000,-1.000000,0.012430,877428.180575,0.000000,-0.012430,1229712.539961,0.000000,900621.336048,0.000000,1102972.525545,0.000000
10/3/2000,1287.900000,1295.000000,1260.000000,1290.700000,1290.700000,1297.705000,-1.000000,0.006158,882831.737346,0.000000,-0.006158,1222139.473960,0.000000,906167.725629,0.000000,1096179.975692,0.000000
10/4/2000,1302.000000,1310.000000,1290.050000,1308.850000,1308.850000,1295.715000,-1.000000,0.014062,895246.238030,-79001.367989,-0.014062,1204953.581458,90045.901094,918910.380173,-81089.619827,1080765.342889,80765.342889
